NTSBNumber,AccidentReport,AccidentDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,HighestInjuryLevel,AircraftNumber,DamageLevel,AircraftCategory,RegulationFlightConductedUnder,FlightScheduledType,FlightTerminalType,FlightServiceType,FlightOperationType,DefiningEvent,PhaseOfFlight,IntentionalAct
CEN19LA065,AccidentReport,2019-01-08,Uvalde,Texas,United States,29.210277,-99.743057,,,Minor,1,Substantial,Helicopter,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Initial Climb,
CEN19LA069,AccidentReport,2019-01-10,Port Lavaca,Texas,United States,28.67,-96.680831,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
CEN19LA067,AccidentReport,2019-01-11,Belen,New Mexico,United States,34.618888,-106.832778,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA068,AccidentReport,2019-01-11,Ponca City,Oklahoma,United States,36.725276,-97.101943,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Positioning,Loss of Control on Ground,Landing,
WPR19TA061,AccidentReport,2019-01-11,Yuma,Arizona,United States,32.619445,-114.645553,,1,Serious,1,Substantial,Helicopter,Part 137: Agricultural,,,,Other work use,Low Altitude Operation,Maneuvering,
CEN19LA054,AccidentReport,2019-01-12,Uvalde,Texas,United States,29.461389,-100.114166,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Abnormal Runway Contact,Landing,
WPR19LA062,AccidentReport,2019-01-12,Langley,Washington,United States,48.032501,-122.4375,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Approach,
CEN19LA053,AccidentReport,2019-01-13,Salem,South Dakota,United States,43.61861,-97.381111,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Medical Event,Maneuvering,
CEN19LA066,AccidentReport,2019-01-13,Adrian,Michigan,United States,41.867778,-84.077224,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
WPR19LA063,AccidentReport,2019-01-13,Kingman,Arizona,United States,35.101943,-113.886108,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
WPR19LA064,AccidentReport,2019-01-13,Port Hadlock,Washington,United States,48.042221,-122.77471,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19LA065,AccidentReport,2019-01-15,Salt Lake City,Utah,United States,40.619445,-111.992774,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
WPR19CA069,AccidentReport,2019-01-16,Townsend,Montana,United States,46.308055,-111.53778,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
CEN19LA055,AccidentReport,2019-01-17,Fredericksburg,Texas,United States,30.260555,-98.906944,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19LA066,AccidentReport,2019-01-17,Ellensburg,Washington,United States,46.947223,-120.512779,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Enroute,
CEN19LA071,AccidentReport,2019-01-18,Beechwood,Wisconsin,United States,45.606388,-88.109169,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA105,AccidentReport,2019-01-18,Reidsville,North Carolina,United States,36.437221,-79.851112,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
CEN19CA062,AccidentReport,2019-01-19,Iron Mountain,Michigan,United States,45.830001,-87.980003,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA060,AccidentReport,2019-01-19,Keshena,Wisconsin,United States,44.996387,-88.603614,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA122,AccidentReport,2019-01-19,MIAMI,Florida,United States,25.647499,-80.433334,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
WPR19CA067,AccidentReport,2019-01-19,Chino,California,United States,33.975276,-117.635276,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19LA070,AccidentReport,2019-01-19,Roll,Arizona,United States,32.829166,-113.990554,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19TA068,AccidentReport,2019-01-19,Torrance,California,United States,33.801387,-118.341941,,,Minor,1,Minor,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Taxi,
WPR19TA068,AccidentReport,2019-01-19,Torrance,California,United States,33.801387,-118.341941,,,Minor,2,Substantial,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Standing,
CEN19LA063,AccidentReport,2019-01-20,Aguilares,Texas,United States,27.448333,-99.086387,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Aerial observation,Fuel Related,Enroute,
GAA19CA115,AccidentReport,2019-01-20,Patterson,Louisiana,United States,29.707221,-91.296386,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abrupt Maneuver,Approach,
ANC19CA010,AccidentReport,2019-01-21,Chignik Lagoon,Alaska,United States,56.308887,-158.53582,,,None,1,Substantial,Airplane,Part 91: General aviation,Non-scheduled,,,Other work use,Loss of Control on Ground,Landing,
CEN19LA056,AccidentReport,2019-01-21,Kidron,Ohio,United States,40.755554,-81.776947,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Positioning,Loss of Control In-Flight,Initial Climb,
CEN19WA057,AccidentReport,2019-01-21,St. Peter Port,,United Kingdom,49.683887,-2.562222,2,,Fatal,1,Destroyed,Airplane,"Non-U.S., non-commercial",,,,,Loss of Control In-Flight,Enroute,
ANC19LA011,AccidentReport,2019-01-22,Anchorage,Alaska,United States,60.903331,-150.1636,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19CA072,AccidentReport,2019-01-23,Ogden,Utah,United States,41.190555,-112.007774,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Runway Excursion,Takeoff,
WPR19LA071,AccidentReport,2019-01-23,Ashland,Oregon,United States,42.066665,-122.596389,1,,Fatal,1,Substantial,Helicopter,Part 91: General aviation,,,,Other work use,Low Altitude Operation,Maneuvering,
GAA19CA134,AccidentReport,2019-01-25,Troutdale,Oregon,United States,45.549446,-122.40139,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19FA077,AccidentReport,2019-01-25,Mt Hood,Oregon,United States,45.374168,-121.688888,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
ERA19LA083,AccidentReport,2019-01-26,Lexington,Kentucky,United States,38.05389,-84.57389,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Approach,
GAA19CA109,AccidentReport,2019-01-26,Los Angeles,California,United States,34.259445,-118.41333,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA131,AccidentReport,2019-01-26,Williamsburg,Virginia,United States,37.239166,-76.71611,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Runway Excursion,Landing,
CEN19LA076,AccidentReport,2019-01-27,Pflugerville,Texas,United States,30.424165,-97.568611,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
CEN19TA073,AccidentReport,2019-01-27,Fort Worth,Texas,United States,32.755832,-97.297775,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Approach,
GAA19CA114,AccidentReport,2019-01-27,Anchorage,Alaska,United States,61.215831,-149.84027,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA126,AccidentReport,2019-01-27,Selah,Washington,United States,46.445835,-120.363891,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
GAA19CA132,AccidentReport,2019-01-27,McGrath,Alaska,United States,62.786109,-154.753616,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
WPR19FA075,AccidentReport,2019-01-28,Oceanside,California,United States,33.210556,-117.36916,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Initial Climb,
WPR19LA076,AccidentReport,2019-01-28,Prospect,Oregon,United States,42.717224,-122.51721,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Initial Climb,
ANC19FA012,AccidentReport,2019-01-29,Kake,Alaska,United States,56.994998,-134.46722,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Business,Loss of Control In-Flight,Approach,
CEN19LA074,AccidentReport,2019-01-29,Grand Prairie,Texas,United States,32.634723,-96.970275,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Midair,Enroute,
CEN19LA074,AccidentReport,2019-01-29,Grand Prairie,Texas,United States,32.634723,-96.970275,,,None,2,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Midair,Enroute,
GAA19CA113,AccidentReport,2019-01-29,Reno,Nevada,United States,39.000556,-119.751113,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Takeoff,
GAA19CA120,AccidentReport,2019-01-29,Truckee,California,United States,39.319999,-120.139442,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA121,AccidentReport,2019-01-29,Tampa,Florida,United States,28.01111,-82.344444,,,None,1,Substantial,Helicopter,Public aircraft,,,,Instructional,Abnormal Runway Contact,Landing,
CEN19FA078,AccidentReport,2019-01-31,Katy,Texas,United States,29.740858,-95.830406,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Enroute,
ERA19LA093,AccidentReport,2019-02-01,Atlantic Ocean,Atlantic Ocean,United States,37.634956,-72.86087,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Abrupt Maneuver,Maneuvering,
GAA19CA125,AccidentReport,2019-02-01,Cedar City,Utah,United States,37.404998,-112.909164,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
WPR19LA078,AccidentReport,2019-02-01,Socorro,New Mexico,United States,34.024444,-106.89833,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Takeoff,
ERA19LA094,AccidentReport,2019-02-02,Ocala,Florida,United States,29.27861,-82.122222,1,,Fatal,1,Substantial,Weight-shift,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
ERA19LA095,AccidentReport,2019-02-02,Knotts Island,North Carolina,United States,36.560001,-75.919998,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
WPR19FA079,AccidentReport,2019-02-03,Yorba Linda,California,United States,33.871944,-117.78666,5,2,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Initial Climb,
GAA19CA130,AccidentReport,2019-02-04,Hanover,Virginia,United States,37.708057,-77.436386,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Taxi,
WPR19FA080,AccidentReport,2019-02-05,Desert Hot Springs,California,United States,34.026111,-116.58777,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Navigation Error,Enroute,
WPR19TA085,AccidentReport,2019-02-06,Aurora,Oregon,United States,45.24139,-122.768608,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Approach,
ERA19LA097,AccidentReport,2019-02-08,Vero Beach,Florida,United States,27.664167,-80.42472,0,0,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Approach,
GAA19CA133,AccidentReport,2019-02-08,Page,Arizona,United States,36.735832,-111.395553,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Landing,
WPR19FA083,AccidentReport,2019-02-08,Diablo,California,United States,37.871944,-121.92444,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Controlled Flight Into Terrain,Enroute,
WPR19LA100,AccidentReport,2019-02-09,Watsonville,California,United States,36.935832,-121.789718,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
ERA19TA098,AccidentReport,2019-02-10,Lignum,Virginia,United States,38.397499,-77.806663,0,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Maneuvering,
GAA19CA136,AccidentReport,2019-02-10,Arlington,Washington,United States,48.160831,-122.159164,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Ground Collision,Standing,
GAA19CA143,AccidentReport,2019-02-10,Woodruff,Wisconsin,United States,45.928054,-89.730834,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Takeoff,
WPR19LA088,AccidentReport,2019-02-10,Laramie,Wyoming,United States,41.287498,-105.607498,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Non-power,Enroute,
CEN19LA090,AccidentReport,2019-02-11,Richmond,Indiana,United States,39.750831,-84.852218,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Runway Excursion,Landing,
GAA19CA140,AccidentReport,2019-02-12,Slaton,Texas,United States,33.485279,-101.661666,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Runway Excursion,Landing,
GAA19CA138,AccidentReport,2019-02-13,Atlanta,Georgia,United States,34.013332,-84.59333,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
GAA19CA145,AccidentReport,2019-02-14,Lacon,Illinois,United States,41.01889,-89.385833,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
CEN19FA082,AccidentReport,2019-02-15,Canadian,Texas,United States,35.906112,-100.5736,2,0,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19LA091,AccidentReport,2019-02-15,Horseshoe Bay,Texas,United States,30.543056,-98.354446,,2,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Takeoff,
GAA19CA137,AccidentReport,2019-02-15,Sanford,Florida,United States,28.779443,-81.235832,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
WPR19FA084,AccidentReport,2019-02-15,Ely,Nevada,United States,39.334167,-114.78055,2,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Unintended Flight Into IMC,Enroute,
GAA19CA141,AccidentReport,2019-02-19,Clearwater,Florida,United States,27.975833,-82.756385,,,None,1,Substantial,Helicopter,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Taxi,
GAA19CA142,AccidentReport,2019-02-20,Tulsa,Oklahoma,United States,36.039722,-95.982498,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Business,Loss of Control In-Flight,Approach,
CEN19FA084,AccidentReport,2019-02-21,Goshen,Indiana,United States,41.527778,-85.757222,1,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Controlled Flight Into Terrain,Approach,
CEN19LA085,AccidentReport,2019-02-21,ENGLEWOOD,Colorado,United States,39.563888,-104.843887,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Unknown,Initial Climb,
ERA19TA105,AccidentReport,2019-02-21,Frankfort,Kentucky,United States,38.183055,-84.900001,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
GAA19CA146,AccidentReport,2019-02-21,Livermore,California,United States,37.693332,-121.820274,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Runway Excursion,Landing,
GAA19CA150,AccidentReport,2019-02-21,Scappoose,Oregon,United States,45.77111,-122.861946,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA151,AccidentReport,2019-02-21,Morristown,New Jersey,United States,40.7975,-74.415832,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Takeoff,
WPR19FA086,AccidentReport,2019-02-21,Stallion Springs,California,United States,35.0475,-118.59694,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Business,Unintended Flight Into IMC,Enroute,
WPR19LA087,AccidentReport,2019-02-21,Kukuihaele,Hawaii,United States,20.110834,-155.55416,,1,Serious,1,Substantial,Helicopter,Part 91: General aviation,,,,Positioning,System/Component Failure - Powerplant,Approach,
CEN19LA086,AccidentReport,2019-02-22,Colby,Kansas,United States,39.427223,-101.05278,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Positioning,System/Component Failure - Non-power,Takeoff,
GAA19CA144,AccidentReport,2019-02-22,Ridgeland,South Carolina,United States,32.494167,-80.991111,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Landing,
ERA19FA106,AccidentReport,2019-02-23,Winter Haven,Florida,United States,28.05611,-81.753334,1,1,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Initial Climb,
ERA19FA107,AccidentReport,2019-02-23,Mansfield,Massachusetts,United States,42.004444,-71.199722,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Initial Climb,
GAA19CA147,AccidentReport,2019-02-23,Aberdeen,South Dakota,United States,45.534721,-98.613052,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Collision on Takeoff or Landing,Landing,
GAA19CA153,AccidentReport,2019-02-23,Princeton,New Jersey,United States,40.399166,-74.658889,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Wildlife Encounter,Landing,
GAA19CA149,AccidentReport,2019-02-24,Springfield,Illinois,United States,39.841667,-89.675003,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Flight test,Loss of Control on Ground,Taxi,
GAA19CA152,AccidentReport,2019-02-25,Ridgeland,South Carolina,United States,32.491111,-80.993614,,,None,1,Substantial,Airplane,Public aircraft,,,,Public aircraft - federal,Loss of Control on Ground,Landing,
ERA19LA109,AccidentReport,2019-02-26,Louisville,Kentucky,United States,38.228054,-85.663612,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Takeoff,
CEN19LA087,AccidentReport,2019-02-27,Devine,Texas,United States,29.274999,-98.877502,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Maneuvering,
CEN19FA088,AccidentReport,2019-02-28,Shreveport,Louisiana,United States,32.54861,-93.76139,2,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
ERA19TA110,AccidentReport,2019-02-28,TULLAHOMA,Tennessee,United States,35.345832,-86.270278,0,2,Serious,1,Substantial,Helicopter,Part 91: General aviation,,,,Ferry,Unintended Flight Into IMC,Enroute,
ERA19TA111,AccidentReport,2019-02-28,West Palm Beach,Atlantic Ocean,United States,26.659444,-79.688056,0,0,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
GAA19CA154,AccidentReport,2019-02-28,Floodwood,Minnesota,United States,46.976943,-92.830001,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
ERA19FA112,AccidentReport,2019-03-01,Fort Lauderdale,Florida,United States,26.16611,-80.101112,1,0,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Banner tow,Other,Maneuvering,
ERA19FA113,AccidentReport,2019-03-01,Louisburg,North Carolina,United States,36.001945,-78.354721,3,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Initial Climb,
WPR19LA092,AccidentReport,2019-03-01,Melba,Idaho,United States,43.426944,-116.621109,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,System/Component Failure - Powerplant,Maneuvering,
ERA19TA114,AccidentReport,2019-03-02,Merritt Island,Florida,United States,28.341388,-80.685279,,1,Serious,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Abnormal Runway Contact,Landing,
GAA19CA155,AccidentReport,2019-03-02,Palmer,Alaska,United States,61.798053,-149.503326,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA162,AccidentReport,2019-03-02,Scottsdale,Arizona,United States,33.626388,-111.90583,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control In-Flight,Approach,
CEN19FA093,AccidentReport,2019-03-05,Summersville,Missouri,United States,37.195926,-91.70314,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
ERA19FA116,AccidentReport,2019-03-05,Fellsmere,Florida,United States,27.715,-80.527221,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Unintended Flight Into IMC,Initial Climb,
ERA19FA118,AccidentReport,2019-03-05,Talking Rock,Georgia,United States,34.533332,-84.522499,1,0,Fatal,1,Substantial,Helicopter,Part 133: Rotorcraft ext. load,,,,External load,System/Component Failure - Non-power,Maneuvering,
ERA19LA119,AccidentReport,2019-03-05,Stateboro,Georgia,United States,32.475276,-81.730552,,,Minor,1,Destroyed,Airplane,Part 91: General aviation,,,,Instructional,Abnormal Runway Contact,Landing,
ERA19TA120,AccidentReport,2019-03-05,Atlantic Ocean,Atlantic Ocean,United States,37.634746,-72.862037,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,System/Component Failure - Powerplant,Enroute,
ANC19FA038,AccidentReport,2019-03-06,Skwentna,Alaska,United States,62.110279,-152.16777,1,,Fatal,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control In-Flight,Enroute,
CEN19LA101,AccidentReport,2019-03-06,Granite Shoals,Texas,United States,30.589445,-98.370277,,,Minor,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Initial Climb,
GAA19CA156,AccidentReport,2019-03-07,Marysville,Ohio,United States,40.224445,-83.351669,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Instructional,Loss of Control on Ground,Landing,
GAA19CA157,AccidentReport,2019-03-07,Superior,Wisconsin,United States,46.694999,-92.095001,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
GAA19CA158,AccidentReport,2019-03-07,Wyndmere,North Dakota,United States,46.459167,-97.185279,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Other work use,Loss of Control In-Flight,Maneuvering,
ERA19LA125,AccidentReport,2019-03-08,Orlando,Florida,United States,28.822778,-81.808334,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Flight test,Abnormal Runway Contact,Taxi,
GAA19CA160,AccidentReport,2019-03-08,Rushville,Nebraska,United States,42.459167,-102.501113,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Fuel Related,Enroute,
WPR19FA091,AccidentReport,2019-03-08,Forks,Washington,United States,48.101112,-124.095,1,,Fatal,1,Destroyed,Helicopter,Part 133: Rotorcraft ext. load,,,,External load,System/Component Failure - Powerplant,Maneuvering,
WPR19FA093,AccidentReport,2019-03-08,Pahokee,Florida,United States,26.788055,-80.713333,5,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Unknown,Loss of Control In-Flight,Maneuvering,
CEN19FA094,AccidentReport,2019-03-09,Longview,Texas,United States,32.461112,-94.539169,4,,Fatal,1,Destroyed,Airplane,Part 91: General aviation,,,,Personal,Windshear/Thunderstorm,Enroute,
ERA19LA194,AccidentReport,2019-03-09,Mount Holly,New Jersey,United States,39,-74,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Personal,Loss of Control on Ground,Landing,
ERA19TA122,AccidentReport,2019-03-09,Chamblee,Georgia,United States,33.872776,-84.300552,,,None,1,Substantial,Airplane,Part 91: General aviation,,,,Executive/Corporate,Undershoot/Overshoot,Landing,
